,股號,股名,產業別
506,3003,健和興,電子零組件業
507,3004,豐達科,鋼鐵工業
508,3005,神基,電腦及週邊設備業
509,3006,晶豪科,半導體業
510,3008,大立光,光電業
511,3010,華立,電子通路業
512,3011,今皓,電子零組件業
513,3013,晟銘電,電腦及週邊設備業
514,3014,聯陽,半導體業
515,3015,全漢,電子零組件業
516,3016,嘉晶,半導體業
517,3017,奇鋐,電腦及週邊設備業
518,3018,隆銘綠能,其他電子業
519,3019,亞光,光電業
520,3021,鴻名,電子零組件業
521,3022,威強電,電腦及週邊設備業
522,3023,信邦,電子零組件業
523,3024,憶聲,光電業
524,3025,星通,通信網路業
525,3026,禾伸堂,電子零組件業
526,3027,盛達,通信網路業
527,3028,增你強,電子通路業
528,3029,零壹,資訊服務業
529,3030,德律,其他電子業
530,3031,佰鴻,光電業
531,3032,偉訓,電子零組件業
532,3033,威健,電子通路業
533,3034,聯詠,半導體業
534,3035,智原,半導體業
535,3036,文曄,電子通路業
536,3037,欣興,電子零組件業
537,3038,全台,光電業
538,3040,遠見,其他業
539,3041,揚智,半導體業
540,3042,晶技,電子零組件業
541,3043,科風,其他電子業
542,3044,健鼎,電子零組件業
543,3045,台灣大,通信網路業
544,3046,建碁,電腦及週邊設備業
545,3047,訊舟,通信網路業
546,3048,益登,電子通路業
547,3049,精金,光電業
548,3050,鈺德,光電業
549,3051,力特,光電業
550,3052,夆典,建材營造業
551,3054,立萬利,食品工業
552,3055,蔚華科,電子通路業
553,3056,富華新,建材營造業
554,3057,喬鼎,電腦及週邊設備業
555,3058,立德,電子零組件業
556,3059,華晶科,光電業
557,3060,銘異,電腦及週邊設備業
558,3062,建漢,通信網路業
559,3090,日電貿,電子零組件業
560,3092,鴻碩,電子零組件業
561,3094,聯傑,半導體業
562,3130,一零四,數位雲端
563,3138,耀登,通信網路業
564,3149,正達,光電業
565,3164,景岳,生技醫療業
566,3167,大量,電機機械
567,3189,景碩,半導體業
568,3209,全科,電子通路業
569,3229,晟鈦,電子零組件業
570,3231,緯創,電腦及週邊設備業
571,3257,虹冠電,半導體業
572,3266,昇陽,建材營造業
573,3296,勝德,電子零組件業
574,3305,昇貿,其他電子業
575,3308,聯德,電子零組件業
576,3311,閎暉,通信網路業
577,3312,弘憶股,電子通路業
578,3321,同泰,電子零組件業
579,3338,泰碩,電子零組件業
580,3346,麗清,汽車工業
581,3356,奇偶,光電業
582,3376,新日興,電子零組件業
583,3380,明泰,通信網路業
584,3406,玉晶光,光電業
585,3413,京鼎,半導體業
586,3416,融程電,電腦及週邊設備業
587,3419,譁裕,通信網路業
588,3432,台端,電子零組件業
589,3437,榮創,光電業
590,3443,創意,半導體業
591,3447,展達,通信網路業
592,3450,聯鈞,半導體業
593,3454,晶睿,光電業
594,3481,群創,光電業
595,3494,誠研,電腦及週邊設備業
596,3501,維熹,電子零組件業
597,3504,揚明光,光電業
598,3515,華擎,電腦及週邊設備業
599,3518,柏騰,其他電子業
600,3528,安馳,電子通路業
601,3530,晶相光,半導體業
602,3532,台勝科,半導體業
603,3533,嘉澤,電子零組件業
604,3535,晶彩科,光電業
605,3543,州巧,光電業
606,3545,敦泰,半導體業
607,3550,聯穎,電子零組件業
608,3557,嘉威,居家生活
609,3563,牧德,光電業
610,3576,聯合再生,光電業
611,3583,辛耘,半導體業
612,3588,通嘉,半導體業
613,3591,艾笛森,光電業
614,3592,瑞鼎,半導體業
615,3593,力銘,電子零組件業
616,3596,智易,通信網路業
617,3605,宏致,電子零組件業
618,3607,谷崧,電子零組件業
619,3617,碩天,其他電子業
620,3622,洋華,光電業
621,3645,達邁,電子零組件業
622,3652,精聯,電腦及週邊設備業
623,3653,健策,電子零組件業
624,3661,世芯-KY,半導體業
625,3665,貿聯-KY,其他電子業
626,3669,圓展,通信網路業
627,3673,TPK-KY,光電業
628,3679,新至陞,電子零組件業
629,3682,亞太電,通信網路業
630,3686,達能,半導體業
631,3694,海華,通信網路業
632,3701,大眾控,電腦及週邊設備業
633,3702,大聯大,電子通路業
634,3703,欣陸,建材營造業
635,3704,合勤控,通信網路業
636,3705,永信,生技醫療業
637,3706,神達,電腦及週邊設備業
638,3708,上緯投控,綠能環保
639,3711,日月光投控,半導體業
640,3712,永崴投控,電腦及週邊設備業
641,3714,富采,光電業
642,3715,定穎投控,電子零組件業
643,4104,佳醫,生技醫療業
644,4106,雃博,生技醫療業
